date,plan_energy_kwh,used_plan_energy_kwh,emergency_energy_kwh,charge_energy_kwh,discharge_energy_kwh,curtail_energy_kwh,storage_start_kwh,storage_end_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,forecast_mae_kwh,max_balance_residual_kwh,gate_count
2025-02-01,99546.613421,51201.808963,0.000000,12631.567610,5911.569764,10103.635184,6000.000000,10800.000000,53980.393307,0.000000,0.000000,53980.393307,166.123970,0.000000,0
2025-02-02,99868.117899,82526.557065,0.000000,20987.567785,16999.929905,182.641233,10800.000000,10800.000000,71203.286972,0.000000,0.000000,71203.286972,70.510323,0.000000,0
2025-02-03,99390.886329,84004.789219,0.000000,19936.172214,16148.299493,0.000000,10800.000000,10800.000000,72316.850490,0.000000,0.000000,72316.850490,50.543032,0.000000,0
2025-02-04,99646.603786,85458.849382,0.000000,22035.096045,17848.427797,77.317183,10800.000000,10800.000000,72349.197790,0.000000,0.000000,72349.197790,44.847341,0.000000,0
2025-02-05,99460.814269,84999.851812,0.000000,22287.629279,18052.979716,16.775267,10800.000000,10800.000000,72006.671109,0.000000,0.000000,72006.671109,49.592270,0.000000,0
2025-02-06,98997.752414,84202.859021,0.000000,20686.320997,16755.920008,1.400817,10800.000000,10800.000000,71493.462980,0.000000,0.000000,71493.462980,55.259373,0.000000,0
2025-02-07,99540.070123,45485.509450,0.000000,10165.252194,8233.854277,11748.431867,10800.000000,10800.000000,52550.385341,0.000000,0.000000,52550.385341,176.730845,0.000000,0
2025-02-08,98969.109451,44319.703847,0.000000,7745.335852,6273.722040,11270.927319,10800.000000,10800.000000,52749.656383,0.000000,0.000000,52749.656383,173.214194,0.000000,0
2025-02-09,98686.161322,83320.771456,0.000000,19633.421429,15903.071358,35.005417,10800.000000,10800.000000,70958.833769,0.000000,0.000000,70958.833769,52.440817,0.000000,0
2025-02-10,98695.049798,78938.983045,0.000000,19011.238050,15399.102820,1000.210233,10800.000000,10800.000000,69068.088569,0.000000,0.000000,69068.088569,79.989067,0.000000,0
2025-02-11,98666.676926,79474.607002,0.000000,19486.530892,15784.090022,551.569000,10800.000000,10800.000000,69514.492352,0.000000,0.000000,69514.492352,72.001802,0.000000,0
2025-02-12,98408.828232,79646.123282,0.000000,19069.056654,15445.935890,756.266384,10800.000000,10800.000000,69246.301121,0.000000,0.000000,69246.301121,76.086111,0.000000,0
2025-02-13,98568.376877,76337.270828,0.000000,19422.421728,15732.161600,1317.531683,10800.000000,10800.000000,68183.039769,0.000000,0.000000,68183.039769,105.192464,0.000000,0
2025-02-14,98054.042952,43836.985072,0.000000,7473.790724,6053.770487,12615.163018,10800.000000,10800.000000,51622.043886,0.000000,0.000000,51622.043886,178.801588,0.000000,0
2025-02-15,98278.580765,44086.321819,0.000000,7891.417810,6392.048426,13306.861336,10800.000000,10800.000000,52536.104681,0.000000,0.000000,52536.104681,174.208992,0.000000,0
2025-02-16,98108.408076,79250.183973,0.000000,18321.782482,14840.643811,391.666201,10800.000000,10800.000000,69468.202120,0.000000,0.000000,69468.202120,68.548715,0.000000,0
2025-02-17,98114.675107,76063.572135,0.000000,18387.136675,14893.580706,1386.152999,10800.000000,10800.000000,68703.747153,0.000000,0.000000,68703.747153,89.359861,0.000000,0
2025-02-18,97944.003243,76769.466994,0.000000,19483.031750,15781.255718,976.303180,10800.000000,10800.000000,67899.323122,0.000000,0.000000,67899.323122,79.480707,0.000000,0
